,RV_actual,RV_forecast_best,RV_forecast_ensemble
2017-09-20,1.2609589812302376e-05,6.239838112347713e-05,5.911239203128092e-05
2017-09-21,1.956989738791618e-05,6.374590465914541e-05,5.991445367717301e-05
2017-09-22,1.9146724069858056e-05,7.010551882217036e-05,6.298886148925924e-05
2017-09-25,9.649609646245706e-06,6.937241591547697e-05,6.290182158248503e-05
2017-09-26,1.312974915840543e-05,6.058324470692081e-05,5.786616720517372e-05
2017-09-27,8.08008085474735e-06,6.352482153237788e-05,5.9168629812069874e-05
2017-09-28,1.0844998529426068e-05,5.865800995752804e-05,5.594748189804193e-05
2017-09-29,7.495296980094946e-06,6.148306356844742e-05,5.70575679468459e-05
2017-10-02,2.8024900380966087e-06,5.862871033484053e-05,5.517581983253204e-05
2017-10-03,1.3134339304456634e-05,5.418578448280925e-05,5.234625043276427e-05
2017-10-04,1.6274031548813513e-05,6.36451058158563e-05,5.7263198536840536e-05
2017-10-05,1.118594280982778e-05,6.6131143603422e-05,5.818167530886877e-05
2017-10-06,1.4078964283955952e-05,6.142110515560865e-05,5.583296821880944e-05
2017-10-09,1.3626315892779357e-05,6.361279532373878e-05,5.6611324108865015e-05
2017-10-10,1.0822238796789684e-05,6.289889676678828e-05,5.630298936360103e-05
2017-10-11,5.959711371460738e-06,6.029557928200578e-05,5.4684431963998005e-05
2017-10-12,1.178761029901363e-05,5.623588427061682e-05,5.247930608505084e-05
2017-10-13,9.333133121326008e-06,6.153596705082103e-05,5.561116289211217e-05
2017-10-16,7.936607228352465e-06,5.927652157643175e-05,5.423722573905318e-05
2017-10-17,8.29205698366079e-06,5.81144156788133e-05,5.30090494820119e-05
2017-10-18,2.564929687563712e-05,5.848908191088804e-05,5.313725205973486e-05
2017-10-19,1.2444475789356743e-05,7.400583001762452e-05,6.193840009574236e-05
2017-10-20,2.360643828490381e-05,6.221225379451009e-05,5.570072771501852e-05
2017-10-23,1.9546837253318815e-05,7.18240207100092e-05,6.147040233426023e-05
2017-10-24,2.3371219509815137e-05,6.797835622730099e-05,5.954870102598357e-05
2017-10-25,5.028818738577168e-05,7.109091500069263e-05,6.150536363208464e-05
