,RVD_tot,RVW_tot,RVM_tot,logRVD_tot,logRVW_tot,logRVM_tot,RVD_pos_tot,RVD_neg_tot,RD_neg_tot,RW_neg_tot,RM_neg_tot,RQ_tot
2017-04-06,9.615175147899666e-05,4.167019127998767e-05,4.504289430796865e-05,-9.249582869985186,-10.085724522187972,-10.00789531536336,2.029854733303053e-05,7.585320414596613e-05,0.0,0.0,0.0,5.812040226790923e-09
2017-04-07,7.682940473002833e-05,5.1033613813899256e-05,4.69225237902832e-05,-9.473923116999318,-9.883026047957083,-9.967012746403865,1.41159435961835e-05,6.271346113384483e-05,0.0,-0.0001757270676909025,0.0,3.5697612842291977e-09
2017-04-10,1.300695382933357e-05,4.6631407867746814e-05,4.536178534086738e-05,-11.250026433567331,-9.973236255282714,-10.000840539952772,5.554855180642916e-06,7.452098648690655e-06,-0.002060807424813442,0.0,0.0,2.1169482964780462e-10
2017-04-11,0.00014323282419605228,7.158755064024526e-05,4.979691022119525e-05,-8.851039110458272,-9.544589372855057,-9.907557619609559,2.063218217370736e-05,0.00012260064202234493,-0.004589709985196343,-0.0005302286512954366,0.0,1.3313661284076732e-08
2017-04-12,3.675721267086963e-05,7.319562938105605e-05,5.084090783212374e-05,-10.211176088409607,-9.522374846688667,-9.886809255151707,2.2972133053963548e-05,1.3785079616906087e-05,0.0,0.0,0.0,1.0907862364721846e-09
2017-04-13,3.457658428944115e-05,6.088059594314494e-05,5.123073279050755e-05,-10.272333859642815,-9.706596055642313,-9.879170956182074,7.07484176309947e-06,2.7501742526341685e-05,-0.0069320459936685905,-0.0026047115697477377,0.0,7.563043782557299e-10
2017-04-18,5.736018207517441e-05,5.698675141217417e-05,5.3013072494123025e-05,-9.766160187424559,-9.772691748511445,-9.844972023992957,2.7122493615044014e-05,3.023768846013039e-05,-0.00828995540131972,-0.004263275303242919,0.0,4.898533464992224e-09
2017-04-19,2.2043651974277197e-05,5.879409104116289e-05,4.93523969212035e-05,-10.7224858898434,-9.741469200606632,-9.916524223432376,6.525265890768406e-06,1.5518386083508794e-05,0.0,-0.0035611688920990704,-0.00020108384754306165,2.817382426285665e-10
2017-04-20,7.201639478952352e-05,4.455080515985714e-05,5.1593354902928855e-05,-9.538616759459112,-10.018880331037774,-9.872117674720727,2.1606726443853486e-05,5.040966834567004e-05,0.0,-0.0015184159733027617,0.0,4.3886186152139075e-09
2017-04-21,4.483104581544608e-05,4.6165571788772433e-05,5.24784363033102e-05,-10.012609671595998,-9.983276237052875,-9.855108209822081,1.935897729099895e-05,2.547206852444714e-05,0.0,-0.0015715661818266676,0.0,1.8062212922854272e-09
2017-04-24,0.0008813324659511396,0.0002155167481211121,9.01577638942603e-05,-7.034075629831707,-8.44247193394096,-9.313949490068042,0.0008717797612831039,9.552704668035758e-06,0.0,0.0,0.0,1.0864632091354655e-06
2017-04-25,2.5177629979111994e-05,0.00020908023770189964,8.69695848937693e-05,-10.589554656926783,-8.47279246722571,-9.349952099355832,1.833078103182358e-05,6.846848947288417e-06,0.0,0.0,0.0,3.2394108872582067e-10
2017-04-26,1.3894663645369578e-05,0.00020745044003611814,8.665246175386801e-05,-11.18400570194516,-8.480618090020531,-9.35360513189038,6.143853060250895e-06,7.750810585118682e-06,-0.0014937440043710005,0.0,0.0,1.4780678027802523e-10
2017-04-27,3.996883614677605e-05,0.00020104092830756866,8.750052689109137e-05,-10.12741050383421,-8.512002047212894,-9.343865743006363,6.72978566021935e-06,3.32390504865567e-05,-0.0048596064271209495,0.0,0.0,9.145712670643643e-10
2017-04-28,2.0124312576641842e-05,0.00019609958165980778,8.003305076001312e-05,-10.813581892925427,-8.536887958064566,-9.43307087410679,7.790072467554084e-06,1.2334240109087758e-05,0.0,0.0,0.0,3.1280346473915327e-10
2017-05-02,1.587924362595058e-05,2.3008937194769965e-05,7.912824096329513e-05,-11.050497733887305,-10.679627843824678,-9.444440718297129,6.686421033973352e-06,9.192822591977228e-06,0.0,0.0,0.0,5.883762621466011e-10
2017-05-03,1.4226395613103873e-05,2.081869032156834e-05,7.854471838001765e-05,-11.16041147288006,-10.779659401579849,-9.451842434479138,5.453631357862757e-06,8.772764255241117e-06,0.0,-5.41325609261561e-05,0.0,1.5428880921712573e-10
2017-05-04,3.272833161818e-05,2.4585423916130425e-05,7.965168590574357e-05,-10.327269444835956,-10.613356814372054,-9.43784735540732,2.8914048175649696e-05,3.81428344253031e-06,0.0,0.0,0.0,8.470249453350196e-10
2017-05-05,4.00771274784149e-05,2.4607082182458196e-05,8.010917842474103e-05,-10.124704773456287,-10.612476262863504,-9.43212012337914,1.2220699231510786e-05,2.7856428246904117e-05,0.0,0.0,0.0,1.0098822316978737e-09
2017-05-08,4.060722865970023e-05,2.8703665399069875e-05,8.03632350201776e-05,-10.111564461399436,-10.458485729100165,-9.428953762230284,2.4363702283046045e-05,1.6243526376654185e-05,-0.003793749804526033,0.0,0.0,1.5921739489008882e-09
2017-05-09,3.5969471687192486e-05,3.2721711011318256e-05,8.115947871806999e-05,-10.232839987960032,-10.327471755074983,-9.419094465919475,3.139849740762188e-05,4.570974279570608e-06,0.0,0.0,0.0,8.460130525717153e-10
2017-05-10,2.367633196022984e-05,3.4611698280743447e-05,8.093036567231609e-05,-10.651034660274895,-10.271318832444202,-9.421921456089063,4.408411166557762e-06,1.9267920793672078e-05,-0.0026531975886874013,0.0,0.0,3.5877598396547145e-10
2017-05-11,4.2196103764769916e-05,3.650525271006143e-05,7.847783623076032e-05,-10.07318266903384,-10.218054397865163,-9.45269431405106,1.7797871244467426e-05,2.4398232520302484e-05,-0.006216466898644548,-0.0001391392746337778,0.0,4.39450031632742e-09
2017-05-12,1.2820235403644217e-05,3.1053874295107295e-05,7.55683285341065e-05,-11.264485744421595,-10.379786981358768,-9.4904732972905,8.177183492285805e-06,4.643051911358413e-06,0.0,-0.0011320531278673906,0.0,1.2442537075886419e-10
2017-05-15,3.485862094477731e-05,2.9904152752122712e-05,7.656158613026303e-05,-10.264210078471969,-10.417513199180823,-9.477415093554255,2.603707464053101e-05,8.821546304246296e-06,0.0,-0.00020498308485859072,0.0,7.748380068763669e-10
2017-05-16,1.2361901553930639e-05,2.5182638725470342e-05,7.061290782834842e-05,-11.300891270362637,-10.589355740340208,-9.558297599746659,4.331861636250145e-06,8.030039917680495e-06,0.0,-0.0006492390583452549,0.0,1.189582925927461e-10
2017-05-17,0.00012609585907854312,4.5666544149133e-05,7.467375539233356e-05,-8.978468153926382,-9.994144603673558,-9.502381860993516,1.430302687460698e-05,0.00011179283220393612,-0.016178814281720265,-0.0033543623969518274,0.0,1.0407580197968924e-08
2017-05-18,6.602415154064302e-05,5.043215370430762e-05,7.61031902673882e-05,-9.625489950440807,-9.894881615979942,-9.483420371933443,3.059806365147033e-05,3.542608788917269e-05,-0.0057687865447067594,-0.00326482632616427,0.0,3.4432362448606018e-09
2017-05-19,2.6126863842914518e-05,5.309347939216168e-05,7.468349398410365e-05,-10.552546506954654,-9.843456435897775,-9.502251454309883,1.971291586171875e-05,6.413947981195769e-06,0.0,-0.002684120697884811,0.0,4.1195385680087923e-10
2017-05-22,2.1484720290399733e-05,5.041869926128616e-05,7.465808799847288e-05,-10.748168559653816,-9.89514843460776,-9.502591694255631,9.82281318925014e-06,1.1661907101149593e-05,-0.002303296126222297,-0.0033131000052328634,0.0,5.61661731871615e-10
2017-05-23,4.017528516155173e-05,5.598137598281038e-05,7.321076483356505e-05,-10.12225854838078,-9.790491494278898,-9.522168087241525,1.696896826866886e-05,2.320631689288287e-05,0.0,-0.0024380235426345502,0.0,2.4968705005363758e-09
2017-05-24,2.9008061095516633e-05,3.656381638620508e-05,7.249153825538645e-05,-10.447936797793053,-10.21645142989505,-9.532040716634029,7.252056975884225e-06,2.1756004119632407e-05,-0.003818462188884858,0.0,0.0,4.695152294573738e-10
2017-05-25,7.916180152729026e-05,3.9191346383534524e-05,3.6029235327029656e-05,-9.44401667943821,-10.147054591060023,-10.231179856659306,5.6442169943431566e-05,2.2719631583858692e-05,-0.0003823702255543272,0.0,0.0,6.39411051591597e-09
2017-05-26,2.3117530634545316e-05,3.8589479741860684e-05,3.593559444773117e-05,-10.674919326328617,-10.162530864188428,-10.233782264875662,1.0631901011552184e-05,1.2485629622993133e-05,-0.0013995490764717906,-0.00048749390687443793,-8.962066462841499e-05,6.838028446396585e-10
2017-05-29,8.96109039037171e-06,3.6084753761855086e-05,3.5711341117958544e-05,-11.622618643027728,-10.229640115299953,-10.240042241253583,3.594584894345135e-06,5.366505496026575e-06,0.0,0.0,-5.969672295161459e-06,1.1604365878647035e-10
